i	Clean	Noise	Filtered
0	0.000000	-48.799999	-14.200045
1	20.299278	-12.100723	4.149593
2	40.519287	59.919289	40.159599
3	60.581070	82.581070	51.490490
4	80.406288	68.006287	29.921185
5	99.917519	129.917511	65.664688
6	119.038574	62.838573	80.652542
7	137.694778	201.894775	109.047646
8	155.813293	212.813293	135.094086
9	173.323364	184.323364	158.357498
10	190.156616	181.956619	168.765320
11	206.247299	252.447296	206.687057
12	221.532593	226.132599	211.534622
13	235.952820	293.952820	227.762543
14	249.451645	270.051636	244.908203
15	261.976349	208.976349	250.312134
16	273.478058	261.078064	252.038284
17	283.911865	306.311859	268.074127
18	293.236969	346.636963	278.610992
19	301.416992	258.016998	276.204041
20	308.420013	319.020020	298.212799
21	314.218628	316.618622	309.320892
22	318.790253	340.590240	316.176575
23	322.116974	274.916962	301.832581
24	324.185883	290.985870	308.426331
25	324.988831	355.788818	315.780090
26	324.522675	360.522675	324.560913
27	322.789307	267.989319	310.040710
28	319.795441	324.995453	320.056427
29	315.552765	333.352753	328.529816
30	310.077881	277.877869	312.947601
31	303.392151	277.992157	296.441498
32	295.521667	239.721664	290.787994
33	286.497192	332.697205	292.328308
34	276.353943	261.953949	278.048584
35	265.131531	307.731537	284.019318
36	252.873795	278.473785	284.115631
37	239.628586	236.228592	283.417053
38	225.447632	240.447632	264.967102
39	210.386322	236.186325	259.813568
40	194.503448	239.903442	246.247955
41	177.861038	198.661041	230.285400
42	160.524094	217.724091	226.584518
43	142.560303	140.160309	206.527023
44	124.039825	176.039825	194.497726
45	105.034966	158.634964	178.244049
46	85.619949	45.819950	147.675827
47	65.870590	128.070587	129.745132
48	45.864002	-2.135998	101.285866
49	25.678320	56.678322	77.413559
50	5.392365	47.592365	55.205048
51	-14.914647	32.285355	52.498119
52	-35.163418	-24.763416	21.931326
53	-55.274876	-109.874878	0.383550
54	-75.170486	-79.970490	-26.946213
55	-94.772560	-87.372559	-53.939198
56	-114.004547	-80.804550	-76.557175
57	-132.791351	-88.391350	-89.282761
58	-151.059601	-175.059601	-102.319710
59	-168.737976	-192.337982	-124.793213
60	-185.757431	-186.157425	-144.550201
61	-202.051498	-238.251495	-176.039581
62	-217.556564	-221.956558	-202.752609
63	-232.212082	-289.012085	-225.543091
64	-245.960815	-223.960815	-231.867676
65	-258.749054	-211.749054	-236.985992
66	-270.526917	-313.926910	-252.121094
67	-281.248352	-286.648346	-265.059448
68	-290.871552	-232.071548	-253.671341
69	-299.358887	-328.158875	-274.510925
70	-306.677216	-315.877228	-295.336578
71	-312.797974	-303.597961	-293.270813
72	-317.697296	-375.297302	-311.000580
73	-321.355988	-338.755981	-332.337463
74	-323.759796	-297.759796	-326.257629
75	-324.899353	-314.299347	-325.942078
76	-324.770142	-283.170135	-321.856506
77	-323.372742	-309.772736	-308.751587
78	-320.712585	-296.912598	-300.382904
79	-316.800018	-275.200012	-295.870972
80	-311.650391	-321.850403	-297.381165
81	-305.283752	-344.283752	-309.603912
82	-297.725006	-247.925003	-297.234344
83	-289.003632	-284.603638	-294.772552
84	-279.153717	-294.553711	-298.643311
85	-268.213715	-329.413727	-300.155945
86	-256.226318	-226.226318	-276.544495
87	-243.238388	-257.038391	-278.367157
88	-229.300613	-255.300613	-272.506531
89	-214.467407	-151.467407	-243.889282
90	-198.796738	-247.396744	-227.485886
91	-182.349747	-154.149750	-213.070587
92	-165.190704	-228.590698	-207.381058
93	-147.386581	-193.586578	-195.038239
94	-129.006927	-113.606926	-187.466141
95	-110.123497	-145.323502	-167.051483
96	-90.810036	-55.010036	-147.223541
97	-71.141968	-100.341965	-121.573807
98	-51.196091	-85.996094	-100.055710
99	-31.050293	21.349709	-73.064377
100	-10.783245	-71.183243	-58.236320
101	9.525910	51.525909	-36.929138
102	29.797869	29.797869	-10.901171
103	49.953465	28.353464	11.968742
104	69.913994	91.313995	25.961599
105	89.601517	40.201515	48.238548
106	108.939140	117.139137	61.361198
107	127.851357	77.451355	70.891891
108	146.264328	187.464325	102.714066
109	164.106125	159.706131	116.392502
110	181.307098	203.707092	149.093613
111	197.800079	262.400085	178.145782
112	213.520645	179.520645	198.559647
113	228.407425	239.607422	208.988281
114	242.402267	283.202271	233.687500
115	255.450546	292.050537	251.356201
116	267.501282	296.901276	258.256409
117	278.507446	231.107452	268.573792
118	288.426025	307.226013	282.097504
119	297.218323	233.218323	272.100708
120	304.850006	311.649994	276.020599
121	311.291229	258.691223	268.378601
122	316.516876	305.716888	283.300476
123	320.506531	339.106537	289.676605
124	323.244598	349.844604	313.001892
125	324.720428	315.920441	313.855957
126	324.928223	283.928223	318.903351
127	323.867157	299.467163	317.653381
128	321.541443	271.141449	304.060364
129	317.960083	292.960083	292.683472
130	313.137085	292.737091	288.046814
131	307.091339	248.091339	280.879425
132	299.846375	282.646362	277.515259
133	291.430511	319.230499	287.133057
134	281.876648	333.876648	295.316376
135	271.222046	334.222046	303.613373
136	259.508301	249.308304	303.856750
137	246.781219	301.181213	307.563721
138	233.090454	280.890442	299.895752
139	218.489471	186.489471	270.418304
140	203.035278	242.235275	252.020950
141	186.788254	187.588257	239.676926
142	169.811829	164.011826	212.243073
143	152.172287	127.572289	181.579422
144	133.938507	123.338509	168.949234
145	115.181709	56.581707	131.818512
146	95.975128	102.575127	114.815895
147	76.393761	131.593765	108.332275
148	56.514084	109.514084	104.720642
149	36.413719	36.813721	87.415680
150	16.171158	-44.028843	67.293571
151	-4.134551	-25.934551	41.591637
152	-24.424114	-75.224113	0.228061
153	-44.618301	15.781700	-18.518417
154	-64.638252	-86.038254	-43.088814
155	-84.405800	-121.805801	-58.644203
156	-103.843735	-70.843735	-67.626045
157	-122.876167	-176.276169	-87.836456
158	-141.428772	-206.028778	-132.198547
159	-159.429108	-167.429108	-148.476715
160	-176.806854	-212.006851	-166.516937
161	-193.494186	-164.894180	-185.327011
162	-209.425934	-237.025940	-197.476974
163	-224.539871	-221.139877	-200.499191
164	-238.776993	-199.976990	-207.008759
165	-252.081680	-292.481689	-223.103729
